event_type,face,statement,end_time,duration
show_grid,white_neutral_faces/CFD-WF-002-004-N.jpg,I don't like the feeling of guilt after abandoning an animal.,293,6
jitter,,,294,1
show_statement,white_neutral_faces/CFD-WM-203-023-N.jpg,I hate the way animals can be unpredictable.,300,6
jitter,,,304,4
show_grid,white_neutral_faces/CFD-WM-203-023-N.jpg,I hate the way animals can be unpredictable.,310,6
jitter,,,312,2
show_statement,white_neutral_faces/CFD-WM-203-023-N.jpg,I hate the sight of a sick or injured animal.,318,6
jitter,,,320,2
show_grid,white_neutral_faces/CFD-WM-203-023-N.jpg,I hate the sight of a sick or injured animal.,326,6
jitter,,,330,4
show_statement,white_neutral_faces/CFD-WF-217-085-N.jpg,I like the way animals make me feel happy and loved.,336,6
jitter,,,340,4
show_grid,white_neutral_faces/CFD-WF-217-085-N.jpg,I like the way animals make me feel happy and loved.,346,6
jitter,,,349,3
show_statement,white_neutral_faces/CFD-WF-210-086-N.jpg,I prefer to live in a house with animals.,355,6
jitter,,,359,4
show_grid,white_neutral_faces/CFD-WF-210-086-N.jpg,I prefer to live in a house with animals.,365,6
jitter,,,368,3
show_statement,white_neutral_faces/CFD-WF-205-006-N.jpg,I prefer dogs to cats.,374,6
jitter,,,377,3
show_grid,white_neutral_faces/CFD-WF-205-006-N.jpg,I prefer dogs to cats.,383,6
jitter,,,385,2
show_statement,white_neutral_faces/CFD-WM-231-112-N.jpg,I love when animals wag their tails.,391,6
jitter,,,392,1
show_grid,white_neutral_faces/CFD-WM-231-112-N.jpg,I love when animals wag their tails.,398,6
jitter,,,408,10
